Season,League,Player,Pos,Team,GP,G,A,P,PIM,+/-
2017,NWHL,Kristin Lewicki,F,Buffalo Beauts,2,0,1,1,0,-2
2017,NWHL,Colleen Murphy,D,Buffalo Beauts,2,0,1,1,2,-1
2017,NWHL,Kaliya Johnson,D,Boston Pride,1,0,1,1,0,-1
2017,NWHL,Courtney Burke,D,Metropolitan Riveters,2,0,0,0,2,1
2017,NWHL,Jenny Ryan,D,Metropolitan Riveters,2,0,0,0,0,1
2017,NWHL,Kiira Dosdall,D,Metropolitan Riveters,2,0,0,0,4,0
2017,NWHL,Tatiana Rafter,F,Metropolitan Riveters,2,0,0,0,0,0
2017,NWHL,Michelle Picard,D,Metropolitan Riveters,2,0,0,0,2,2
2017,NWHL,Taylor Accursi,F,Buffalo Beauts,2,0,0,0,2,0
2017,NWHL,Kaylyn Schroka,F,Buffalo Beauts,2,0,0,0,2,0
2017,NWHL,Jess Jones,F,Buffalo Beauts,2,0,0,0,0,-3
2017,NWHL,Lisa Chesson,D,Buffalo Beauts,2,0,0,0,0,-1
2017,NWHL,Jordyn Burns,F,Buffalo Beauts,2,0,0,0,0,0
2017,NWHL,Jacquie Greco,D,Buffalo Beauts,2,0,0,0,2,-1
2017,NWHL,Emily Field,F,Boston Pride,1,0,0,0,4,0
2017,NWHL,Alyssa Gagliardi,D,Boston Pride,1,0,0,0,2,1
2017,NWHL,Dana Trivigno,F,Boston Pride,1,0,0,0,2,1
2017,NWHL,Janine Weber,F,Boston Pride,1,0,0,0,0,-1
2017,NWHL,Sydney Daniels,F,Boston Pride,1,0,0,0,0,0
2017,NWHL,Kaleigh Fratkin,D,Boston Pride,1,0,0,0,2,1
2017,NWHL,Jordan Smelker,F,Boston Pride,1,0,0,0,0,0
2017,NWHL,Corey Stearns,F,Boston Pride,1,0,0,0,0,0
2017,NWHL,Paige Harrington,D,Boston Pride,1,0,0,0,0,-1
2017,NWHL,Meagan Mangene,D,Boston Pride,1,0,0,0,0,1
2017,NWHL,Emily Fluke,F,Connecticut Whale,1,0,0,0,0,-1
2017,NWHL,Kelly Babstock,F,Connecticut Whale,1,0,0,0,0,0
2017,NWHL,Amanda Boulier,D,Connecticut Whale,1,0,0,0,2,-1
2017,NWHL,Shannon Doyle,D,Connecticut Whale,1,0,0,0,4,0
2017,NWHL,Sam Faber,F,Connecticut Whale,1,0,0,0,2,-1
2017,NWHL,Jamie Goldsmith,F,Connecticut Whale,1,0,0,0,0,0
2017,NWHL,Rachael Ade,D,Connecticut Whale,1,0,0,0,0,-1
2017,NWHL,Kaycie Anderson,F,Connecticut Whale,1,0,0,0,0,-1
2017,NWHL,Juana Baribeau,F,Connecticut Whale,1,0,0,0,0,-1
2017,NWHL,Jordan Brickner,D/F,Connecticut Whale,1,0,0,0,0,0
2017,NWHL,Emma Greco,D,Connecticut Whale,1,0,0,0,0,-1
2017,NWHL,Cydney Roesler,D,Connecticut Whale,1,0,0,0,2,-1
2017,NWHL,Rebecca Vint,F,Buffalo Beauts,1,0,0,0,0,-1
2017,NWHL,Sam Donovan,F,Connecticut Whale,1,0,0,0,0,0
2017,NWHL,Elena Orlando,RW,Connecticut Whale,1,0,0,0,0,-1
2017,NWHL,Hanna Beattie,D,Connecticut Whale,1,0,0,0,0,-1
2017,NWHL,Jordan Juron,F,Buffalo Beauts,1,0,0,0,0,0
