Season,League,Player,Pos,Team,GP,G,A,P,PIM,+/-
2012,CWHL,Vanessa Davidson,F,Montreal Stars,14,5,6,11,6,-1
2012,CWHL,Lori Dupuis,F,Brampton Thunder,24,3,7,10,32,-2
2012,CWHL,Karen Thatcher,F,Boston Blades,16,6,3,9,8,3
2012,CWHL,Dominique Thibault,F,Montreal Stars,21,5,4,9,8,4
2012,CWHL,Tessa Bonhomme,D,Toronto Furies,24,4,5,9,22,-3
2012,CWHL,Julie Chu,F,Montreal Stars,14,2,7,9,2,1
2012,CWHL,Kacey Bellamy,D,Boston Blades,24,1,8,9,22,7
2012,CWHL,Courtney Birchard Kessel,D,Brampton Thunder,24,0,9,9,30,0
2012,CWHL,Whitney Naslund,F,Boston Blades,24,5,3,8,12,3
2012,CWHL,Jen Schoullis,F,Boston Blades,14,5,3,8,2,10
2012,CWHL,Jenna Cunningham,F,Team Alberta CWHL,23,4,4,8,18,-3
2012,CWHL,Mallory Johnston,D,Brampton Thunder,24,1,7,8,12,-1
2012,CWHL,Kelli Stack,F,Boston Blades,8,4,3,7,12,6
2012,CWHL,Meaghan Mikkelson-Reid,D,Team Alberta CWHL,23,3,4,7,40,-3
2012,CWHL,Tara Watchorn,D,Team Alberta CWHL,22,3,4,7,24,1
2012,CWHL,Cherie Hendrickson,D,Boston Blades,20,2,5,7,10,5
2012,CWHL,Tara French,D,Brampton Thunder,23,1,6,7,18,2
2012,CWHL,Sarah Moe,F,Brampton Thunder,23,4,2,6,18,0
2012,CWHL,Erica Kromm,D/F,Team Alberta CWHL,23,3,2,5,8,0
2012,CWHL,Britni Smith,D,Toronto Furies,23,2,3,5,12,-5
2012,CWHL,Jennifer Brine,F,Toronto Furies,23,2,3,5,6,3
2012,CWHL,Jessica Koizumi,F,Boston Blades,15,2,3,5,4,3
2012,CWHL,Gigi Marvin,F,Boston Blades,15,2,3,5,6,2
2012,CWHL,Tara Gray,D,Brampton Thunder,21,1,4,5,10,0
2012,CWHL,Sara Dagenais,F,Montreal Stars,21,1,4,5,10,4
2012,CWHL,Chelsea Purcell,F,Team Alberta CWHL,23,0,5,5,22,3
