Season,League,Player,Pos,Team,GP,G,A,P,PIM,+/-
2018,CWHL,Melanie Desrochers,D,Les Canadiennes,28,1,6,7,18,
2018,CWHL,Maddie Woo,F,Shenzhen KRS Vanke Rays,28,3,3,6,10,
2018,CWHL,Kelty Apperson,F,Calgary Inferno,25,3,3,6,4,
2018,CWHL,Kaitlin Spurling,F,Worcester Blades,20,3,3,6,8,
2018,CWHL,Jessica Vella,F,Toronto Furies,25,2,4,6,10,
2018,CWHL,Brooke Webster,F,Markham Thunder,23,2,4,6,6,
2018,CWHL,Carlee Campbell,D,Toronto Furies,8,2,4,6,4,
2018,CWHL,Kaitlin Willoughby,F,Calgary Inferno,27,1,5,6,2,
2018,CWHL,Nicole Kosta,F,Markham Thunder,13,1,5,6,2,
2018,CWHL,Catherine Daoust,D,Les Canadiennes,27,2,3,5,2,
2018,CWHL,Taylor Woods,F,Markham Thunder,26,2,3,5,12,
2018,CWHL,Demi Crossman,F,Worcester Blades,22,2,3,5,30,
2018,CWHL,Tori Hickel,D/F,Calgary Inferno,27,1,4,5,6,
2018,CWHL,Becca King,F,Markham Thunder,27,1,4,5,10,
2018,CWHL,Maude Gelinas,F,Les Canadiennes,25,3,1,4,2,
2018,CWHL,Dakota Woodworth,F,Calgary Inferno,27,2,2,4,2,
2018,CWHL,Mackenzie MacNeil,F,Toronto Furies,25,2,2,4,0,
2018,CWHL,Nicole Anderson,F,Worcester Blades,24,2,2,4,4,
2018,CWHL,Emily Fulton,F,Toronto Furies,15,2,2,4,22,
2018,CWHL,Megan Quinn,D,Toronto Furies,28,1,3,4,8,
2018,CWHL,Baiwei Yu,D,Shenzhen KRS Vanke Rays,28,1,3,4,12,
2018,CWHL,Courtney Turner,F,Worcester Blades,27,1,3,4,26,
2018,CWHL,Ailish Forfar,F,Markham Thunder,25,1,3,4,10,
2018,CWHL,Kelly Gribbons,F,Markham Thunder,25,1,3,4,0,
2018,CWHL,Eden Murray,F,Calgary Inferno,17,1,3,4,6,
2018,CWHL,Qinan Zhao,D,Shenzhen KRS Vanke Rays,27,0,4,4,10,
2018,CWHL,Louise Warren,F,Calgary Inferno,19,0,4,4,6,
2018,CWHL,Chelsey Goldberg,F,Worcester Blades,27,2,1,3,2,
2018,CWHL,Megan Myers,F,Worcester Blades,21,2,1,3,10,
2018,CWHL,Olivia Atkinson,F,Les Canadiennes,17,2,1,3,0,
2018,CWHL,Michelle Ng,F,Shenzhen KRS Vanke Rays,28,1,2,3,10,
2018,CWHL,Emma Martin,D,Les Canadiennes,12,1,2,3,4,
2018,CWHL,Emma Greco,D,Toronto Furies,23,0,3,3,12,
2018,CWHL,Carrie Atkinson,D,Worcester Blades,21,0,3,3,10,
2018,CWHL,Casey Stathopoulos,F,Worcester Blades,25,2,0,2,4,
2018,CWHL,Minghui Kong,F,Shenzhen KRS Vanke Rays,28,1,1,2,0,
2018,CWHL,Tracy-Ann Lavigne,???,Les Canadiennes,28,1,1,2,4,
2018,CWHL,Aina Mizukami,D,Calgary Inferno,18,1,1,2,4,
2018,CWHL,Kayla Tutino,F,Les Canadiennes,5,1,1,2,0,
2018,CWHL,Zhixin Liu,D,Shenzhen KRS Vanke Rays,28,0,2,2,16,
2018,CWHL,Xin Fang,F,Shenzhen KRS Vanke Rays,28,0,2,2,0,
2018,CWHL,Kelly Murray,D,Calgary Inferno,27,0,2,2,12,
2018,CWHL,Gina Repaci,D,Markham Thunder,27,0,2,2,6,
2018,CWHL,Julia Fedeski,D,Toronto Furies,24,0,2,2,24,
